x,y,p,c
29.3230769230769,0,5,3
27.7240384615385,0,5,3
29.9,1,5,3
29.2156862745098,0,5,3
30,0,5,3
28.4,0,5,3
29.816,0,5,3
28.209,1,5,3
20.8,1,5,3
0.199999999999999,0,5,3
0.15,0,5,3
1.246875,0,5,3
10.7,1,5,3
0.167307692307692,0,5,3
0,0,5,3
0,0,5,3
0,0,5,3
6.1,0,5,3
23.7,1,5,3
0.199999999999999,0,5,3
0.100000000000001,0,5,3
4.6,0,5,3
10.4,0,5,3
15.077,1,5,3
0.100000000000001,0,5,3
2.9,0,5,3
6.4,0,5,3
9.2,0,5,3
11.6,1,5,3
1.8,0,5,3
4.4,0,5,3
6.5,0,5,3
8.2,0,5,3
12.5,1,5,4
9.46538461538461,0,5,4
14.1,1,5,4
10.9,1,5,4
8.47115384615384,1,5,4
20,1,5,4
17.7,1,5,4
7.68018867924529,0,5,4
9.07941176470588,0,5,4
14.6,1,5,4
9.06792452830189,0,5,4
10.1990196078431,0,5,4
11.4,0,5,4
15.6,1,5,4
9.27608695652174,0,5,4
11.4924528301887,1,5,4
9.6,0,5,4
11.1,0,5,4
12.4,0,5,4
15.1,1,5,4
13.7,1,5,4
9.984,0,5,4
12.1,1,5,4
12.2,0,5,4
13.8,1,5,4
10.285,0,5,4
13.1,1,5,4
11,0,5,4
11.8,0,5,4
11.5,0,5,4
13,0,5,4
13.7,1,5,4
11.4,0,5,4
13.3,0,5,4
14.2,1,5,4
13.9,1,5,4
11.6,0,5,4
11.9,0,5,4
12.6,0,5,4
12.392,1,5,4
7.7,1,6,1
4.7,1,6,1
2.99508196721311,1,6,1
6.5,1,6,1
1.7,0,6,1
3.85,1,6,1
2.2,1,6,1
1.2,1,6,1
7,1,6,1
4.8,1,6,1
1.2,1,6,1
1.35,1,6,1
0.800000000000001,1,6,1
1.1,1,6,1
0.600000000000001,1,6,1
0.800000000000001,1,6,1
0.699999999999999,1,6,1
0.399999999999999,0,6,1
0.800000000000001,1,6,1
0.100000000000001,0,6,1
0.100000000000001,0,6,1
0.100000000000001,0,6,1
0.699999999999999,1,6,1
0.100000000000001,0,6,1
0.699999999999999,1,6,1
0.100000000000001,0,6,1
0.699999999999999,1,6,1
0.100000000000001,0,6,1
0.699999999999999,1,6,1
0.100000000000001,0,6,1
5.8,1,6,2
3.6,0,6,2
7.6,1,6,2
2.9,0,6,2
4.9,1,6,2
6.6,1,6,2
4.2,0,6,2
5.4,1,6,2
4.7,1,6,2
3.88660714285714,1,6,2
2.6,0,6,2
3,0,6,2
4.5,0,6,2
5.6,1,6,2
4.1,0,6,2
4.3,0,6,2
5,1,6,2
4.3,1,6,2
3.8,0,6,2
4.9,0,6,2
5.6,1,6,2
5.3,1,6,2
4.1,0,6,2
4.5,1,6,2
5,0,6,2
5.6,1,6,2
3.8,0,6,2
5.2,1,6,2
4.1,1,6,2
15.2,0,6,3
21.3,0,6,3
25,1,6,3
19.5,1,6,3
0.199999999999999,0,6,3
8.4,0,6,3
19.8,0,6,3
9.5,0,6,3
23.1,1,6,3
20.7,1,6,3
11.4327272727273,0,6,3
17.1,0,6,3
24.203,1,6,3
18.8,1,6,3
14.8,0,6,3
19,1,6,3
19.1,1,6,3
17.7,0,6,3
19.2,1,6,3
18.3,1,6,3
17.4,0,6,3
18.4,0,6,3
19.5,0,6,3
23.6,1,6,3
22.3,1,6,3
16.1,1,6,3
12.4,0,6,3
13.7362745098039,0,6,3
22.5,1,6,3
15.5,0,6,3
16.1,1,6,3
13.7432692307692,0,6,3
22.1,1,6,3
15,0,6,3
21.1,1,6,3
15.8,1,6,3
14.1701923076923,1,6,3
12.1009433962264,0,6,3
12.8,1,6,3
10.1,0,6,3
12.4990384615385,1,6,4
9.44727272727273,0,6,4
14.1,1,6,4
10.9,0,6,4
15,1,6,4
10.2418367346939,0,6,4
11.8,1,6,4
10,0,6,4
11.5824074074074,1,6,4
11.1888888888889,1,6,4
10.398,0,6,4
10.9,0,6,4
11.5,0,6,4
12.3,0,6,4
15.6,1,6,4
14.5,0,6,4
4.9,0,6,4
20.3927083333333,1,6,4
17.8,1,6,4
15.9,1,6,4
13.5,1,6,4
13,0,6,4
16.9,1,6,4
8.69814814814815,0,6,4
14.5,0,6,4
17.85,1,6,4
16.8,1,6,4
9.18,0,6,4
15.2,0,6,4
17.6,1,6,4
16.8,1,6,4
9.551,0,6,4
15.7,0,6,4
17.5,1,6,4
9.58018867924528,0,6,4
16.6,1,6,4
16.1,0,6,4
17.6,1,6,4
9.97232142857143,0,6,4
16.8,1,6,4
7.7,1,7,1
4.7,1,7,1
6.5,1,7,1
1.7,1,7,1
1.05,0,7,1
3.1,1,7,1
1.15,0,7,1
1.9875,1,7,1
1,0,7,1
1.5,1,7,1
1.01734693877551,1,7,1
0.5,0,7,1
0.600000000000001,0,7,1
1.6,1,7,1
1.24636363636364,1,7,1
0.600000000000001,0,7,1
1.309,1,7,1
1.36979166666667,1,7,1
1.34910714285714,1,7,1
0.600000000000001,1,7,1
0.600000000000001,0,7,1
0.600000000000001,1,7,1
0.300000000000001,1,7,1
0.100000000000001,0,7,1
0.100000000000001,0,7,1
0.100000000000001,0,7,1
0.199999999999999,0,7,1
0.300000000000001,0,7,1
5.9,0,7,2
8.35,1,7,2
4.3,0,7,2
7.2,1,7,2
7.92659574468085,1,7,2
6.3,1,7,2
5.2,0,7,2
6.8,0,7,2
2.6,0,7,2
8.73173076923077,1,7,2
6.5,0,7,2
8.325,1,7,2
6.6,0,7,2
7.53725490196078,1,7,2
6.60816326530612,1,7,2
6.007,0,7,2
7.15,0,7,2
7.8,0,7,2
9.38877551020408,1,7,2
8.75,1,7,2
8.33679245283019,0,7,2
0.100000000000001,0,7,2
12,1,7,2
11.7,1,7,2
10.6,1,7,2
9.87211538461538,1,7,2
9.38367346938776,1,7,2
15.1980392156863,1,7,3
9,1,7,3
5.3,0,7,3
10.8094339622642,0,7,3
0,0,7,3
0,0,7,3
0,0,7,3
0,0,7,3
17.1,1,7,3
18,1,7,3
17.9,1,7,3
10.6,0,7,3
13.3460784313726,0,7,3
19.2,1,7,3
12.7943396226415,0,7,3
14.6,1,7,3
12.5367346938776,0,7,3
13.9943396226415,0,7,3
15.6,0,7,3
19.9,1,7,3
19.3,1,7,3
18.4,1,7,3
14.788679245283,0,7,3
16.4,0,7,3
20.2,1,7,3
19.5,1,7,3
16.2,0,7,3
16.2,1,7,3
12.9,0,7,3
13.4355769230769,0,7,3
15.6,1,7,3
13.2342592592593,0,7,3
17.4,0,7,3
19.9,1,7,3
19.1,1,7,3
13.4551020408163,0,7,3
17.7,1,7,3
14.5981132075472,1,7,3
13.1509433962264,0,7,3
12.5,0,7,4
15.5,1,7,4
10.9,0,7,4
14.1,0,7,4
16.5,1,7,4
13.3,1,7,4
4.9,0,7,4
6.43301886792453,0,7,4
9.44903846153846,0,7,4
14,0,7,4
16.6,1,7,4
14.6,0,7,4
16.2,1,7,4
14.3,0,7,4
15.1,1,7,4
14.2,1,7,4
12.2,0,7,4
16.2,0,7,4
19.45,1,7,4
18.4933962264151,1,7,4
11.9,0,7,4
16.7,1,7,4
13.4,1,7,4
